phrase|label
What was archy , and mehitabel \?|2
What Texas city got its name from the Spanish for `` yellow '' \?|32
What are the chemicals used in glowsticks \?|22
What country did the Nile River originate in \?|33
What color are tennis balls \?|8
What barroom judge called himself The Law West of the Pecos \?|30
What excuse did the NATO people give for hitting the Chinese embassy \?|3
Who was President of Costa Rica in 1994 \?|30
What sports event is Meyer Wolfsheim supposed to have fixed in The Great Gatsby \?|21
What country has the best defensive position in the board game Diplomacy \?|33
What two countries share the Khyber Pass \?|33
Who was chairman of the Senate select committee that tried to get to the bottom of Watergate \?|30
What is the origin of the surname of Braun \?|3
What card game has variations called Canfield , Klondike and Spider \?|21
What is Australia Day \?|2
What mammal of North America is the world 's longest lived for its size \?|6
What was the Chivington Massacre \?|2
What actor starred in 1980 's Blue Lagoon , 1982 's The Pirate Movie and 1983 's A Night in Heaven \?|30
How many home runs did Lou Gehrig have during his career \?|38
In what city is the headquarters of Sinn Fein \?|32
Where can I find information on George Bush \?|35
Who is the voice of Miss Piggy \?|30
What is the dialogue circle in cartoons called \?|25
What does the word camaro mean , from the GM car the Camaro \?|2
Who replaced Bert Parks as the host of The Miss America Pageant \?|30
How many boys play the game in Winslow Homer 's 1872 painting Snap the Whip \?|38
What is the AIM 54C Phoenix \?|2
When are sheep shorn \?|39
What sport is Chris Jogis a top player of \?|21
What 's the second largest island in the world \?|35
What is the definition of low island \?|2
What century does Captain Video live in \?|39
What types of water pollution are there \?|17
How many astronauts manned each Project Mercury flight \?|38
What soft drink would provide me with the biggest intake of caffeine \?|13
What 's the name of a golf course in Myrtle Beach \?|17
What are some of the significant historical events of the 1990s \?|12
Name the only extant trilogy of classical Greek plays|9
Where is Logan Airport \?|35
What is the difference between Neoclassical art and Romanticism art \?|3
Who was the first person inducted into the U S Swimming Hall of Fame \?|30
What golfer has been called Ohio Fats and Blobbo \?|30
Who murdered Leno and Rosemary LaBianca on August 1|30
What is the average cost for four years of medical school \?|41
What does God create in the first sentence of the Bible \?|17
Which of the following men was not married to Rita Hayworth \?|30
What is the current ticket fare from from Cairo to Barbados \?|41
What does NN O `` mean when used as a prefix in Irish surnames \?|1
How do you find oxidation numbers \?|4
What is the state nickname of Mississippi \?|36
What is Black Hills , South Dakota most famous for \?|5
What 1966 boob tube bomb took astronauts back to prehistoric times \?|9
How many students attend the University of Massachusetts \?|38
Who said , `` I shall return '' during World War Two \?|30
What holidays are celebrated in Ireland \?|12
Who portrayed Etta Place , companion to Butch Cassidey and the Sundance Kid \?|30
What are the Greek numerals \?|2
What 's the name of the temple that is located near the capital city of Laos \?|35
What is a fear of sleep \?|11
What auto race was Wilbur Reed the first to win three times \?|21
What are the most common breeding birds in the U S \?|6
What was organized as a Confederate veterans ' social club in Pulaski , in Tennessee , in 1866 \?|12
How do you look up criminal records on the Internet \?|4
Where is the actress , Marion Davies , buried \?|35
What is an example of an actual case of using the Fourteenth Amendment \?|3
Who was the Charlie perfume woman \?|30
Who portrayed `` Rosanne Rosanna Dana '' on the television show `` Saturday Night Live '' \?|30
What singer became despondent over the death of Freddie Prinze , quit show business , and then quit the business \?|30
When did Iraqi troops invade Kuwait \?|39
What was Mark Johnson referring to when he said `` I still can 't believe it we beat the Russians \? ''|25
What car was driven in the 199 release of `` Smokey and the Bandit '' \?|19
What was the backup singing group for Roy Rogers \?|29
What famous singing cowboy owns the California Angels baseball team \?|30
What 1915 film was the first to gross 5 million \?|9
Where did the term `` 86 '' come from \?|3
What causes someone to be ticklish \?|5
What is the probability that at least 2 out of 25 people will have the same birthday \?|44
How many Canadians emmigrate each year \?|38
Why did several San Diego schools remove apples from students menus \?|5
What musical instrument did Sherlock Holmes play \?|14
Who was Gerald Ford 's vice president \?|30
What is `` the washed vodka '' \?|2
How many different languages are spoken in Europe \?|38
What year was Desmond Mpilo Tutu awarded the Nobel Peace Prize \?|39
What 's a `` Drinker respirator '' better known as \?|25
Who invented batteries \?|30
Why do recipe books recommend starting with cold water when you boil something \?|5
Where can I buy a good snowboard for less than 200 \?|35
What title did Suzette Charles assume for two months in 1984 \?|31
What was the infamous pseudonym of Peter Sutcliffe \?|30
What is Smokey The Bear 's middle name \?|6
What is Nicholas Cage 's occupation \?|31
What British TV series featured Emma Peel \?|9
What London street is the home of British journalism \?|35
What tragedy befell the city of Dogtown in 1899 \?|12
What is the Immaculate Conception \?|2
What are the names of all the U S Navy aircraft carriers \?|26
What format was VHS 's main competition \?|17
What is Candlemas Day \?|2
In what city is the famed St Mark 's Square \?|32
What does the Ouarterly Review of Doublespeak call an `` inoperative statement '' \?|25
How much did the minimum wage amount to in 1991 \?|41
Where is Tufts University \?|35
What is a pyrotechnic display \?|2
How do I find out about jobs \?|4
What Japanese manufacturer is known for both its pianos and its motorcycles \?|29
What is the chemical reactivity of argon \?|43
How many engines does a Boeing 737 have \?|38
What is the origin of the term `` The Brooklyn Side '' in bowling \?|3
What is a fear of being cold \?|11
How long was Mao 's 1930s Long March \?|40
What net game sees its women 's world amateur champions receive the Uber Cup \?|21
What four legged creature did a Cornell University study say would make man 's best companion in space \?|6
What does a teaspoon of matter weigh in a black hole \?|49
What did British companies stick 175 , 0 tons of tea into in 1982 \?|17
What province is Edmonton located in \?|36
How can I find out how much income tax is paid on Social Security income on the 1998 income tax \?|4
Who did Sonny Liston succeed as world heavyweight boxing champion \?|30
What is California 's state bird \?|6
What is Martin Luther King Jr 's real birthday \?|39
Name the various super teams to which the Angel has belonged|29
How does Zatanna perform her magic in DC comics \?|4
What 's the name of Jacques Cousteau 's research ship \?|26
What President dispatched a cruiser to carry Charles Lindbergh home after his epic flight \?|30
Whose video is titled Shape Up with Arnold \?|30
In which Kevin Costner movie did Sioux Indians play a role \?|9
How many James Bond novels are there \?|38
How do you get dates with the `` Hooters '' girls \?|4
What bird can swim but can 't fly \?|6
How can I get a comic character I made copyrighted and published \?|4
How large is the Arctic refuge to preserve unique wildlife and wilderness value on Alaska 's north coast \?|48
What is Plc \?|2
How much electricity does the brain need to work \?|38
How many acres in a mile \?|38
What Dickens novel has David carrying the message `` Barkis is willin '' to Peggy \?|9
What is a hyperlink \?|2
Who 's the twin brother of the Greek goddess Artemis \?|30
Where did marijuana come from \?|3
What is the per capita income of Colombia , South America , \?|41
What novel has Big Brother watching \?|9
How many Grammys did Michael Jackson win in 1983 \?|38
What does Elysium mean \?|2
What is Shalom \?|2
What was the favorite sport of Tom Wolfe 's The Pump House Gang \?|21
What organic fuel do bog dwellers use a `` slane '' to cut \?|22
What is the average age of a member of the team that worked on the Manhatten Project \?|45
What country received all the Nobel Prizes awarded in 1976 \?|33
How do you get rid on woodpeckers \?|4
How many syllables are there in a line of hendecasyllabic poetry \?|38
What soft drink first appeared in the Old Corner Drug Store in Waco , Texas , in 1885 \?|13
What is Britain 's possession on the Chinese mainland \?|35
Who was America 's first Public Enemy No 1 \?|30
How many children under 18 are victims of some sort of Physical Abuse each year \?|38
What is the origin of thank you notes \?|3
What did Jimmy Stewart invent \?|17
What generation am I in \?|17
What is a fear of hell \?|11
Who is Dear Abby \?|28
Who lives at 24 Sussex Drive , Ottawa \?|30
What is Jell O made from \?|22
Who was Monet \?|28
What are the only two states that incorporate the Confederate battle flag in their flags \?|36
How do you make panoramic sugar eggs for Easter the ones with the scene inside \?|4
What 's the Southern dish made of pigs ' small intestines \?|13
Where is Guam \?|35
Who was the famous door to door brush salesman \?|30
What is the executor in a will \?|2
What inescapable purveyor of background music celebrated its 5th anniversary in July , 1984 \?|29
How many people in America snore \?|38
Who is always trying to get the rent from Andy Capp \?|30
What soft drink is most heavily caffeinated \?|13
Who did Jackie Kennedy commission to write The Death of a President \?|30
Which drug is commonly used to treat AIDS \?|11
How many stars are there on the Soviet Union 's flag \?|38
What is the difference between microprocessors microcontrollers \?|3
Who sought to create The Great Society \?|30
What are tourist attractions in Reims \?|35
What are the lengths of pearl necklaces \?|40
Who said `` Soldiers win the battles and generals get the credit '' \?|30
What is the proof that houseplants metabolize carcinogens \?|3
What prompted the co pilot of the Enola Gay to enter only `` My God '' in his log \?|5
How long does it take the typical hen to lay 19 dozen eggs \?|45
What Colorado city owns its own glacier \?|32
What is the history of `` the toast '' \?|3
What was the name of the Protestant revolt against the supremacy of the Pope \?|12
What is an arab strap \?|2
How much does it cost , average or whatever is available , to produce and send junk mail catalogues in the US \? , DT CD NN NN ,|41
Who is the current UN Secretary General \?|30
Who provides telephone service in Orange County , California \?|29
Where did guinea pigs originate \?|35
What two countries ' coastlines border the Bay of Biscay \?|33
Why did Egyptians shave their eyebrows \?|5
What organization did Mr Waverly assign agents for \?|29
When was the slinky invented \?|39
What are the characters ' names in the Scooby Doo cartoon \?|30
What is a fear of cold \?|11
What was Eduard Shevardnadze 's job in the Soviet Union \?|31
What causes rust \?|5
Which is the only Dick Tracy villain to appear three times \?|30
What was the monster in Spielberg 's film `` Jaws '' \?|6
What color is an Arctic fox in winter \?|8
What do the names Neil , Mary , and Anthony mean \?|2
What European capital celebrated its 2 , 000th anniversary in 1951 \?|32
Why do people in the upper peninsula of Michagin say `` eh \? '' \?|5
What flower did Vincent Van Gogh paint \?|18
What country was the setting of You Only Live Twice \?|33
What was Thatcher 's approval rating after 10 years in power \?|44
Winnie the Pooh is what kind of animal \?|6
What was the first Funk 'N Lata , Brazilian group , success \?|3
What is a handheld PC \?|2
What did John Hinckley do to impress Jodie Foster \?|3
What is Larry King 's job \?|31
How many calories are in a tomato \?|38
In what state was the first co educational college established|36
What war saw a naval battle between the luxury liners Cap Trafalgar and the Carmania \?|12
What is the treatment for depression \?|24
What is a fear of slime \?|11
What country in Latin America is the largest one \?|33
On which Hawaiian island is Pearl Harbor \?|35
What feathered cartoon characters do Yugoslavians know as Vlaja , Gaja , and Raja \?|30
What Marx Brothers movie centers on a stolen painting \?|9
What was unusual about Alexandra 's appearance in Josie and the Pussycats \?|3
What is the origin of the word `` mind '' \?|3
When was Dick Clark born \?|39
What game is fatal to anybody over 21 \?|21
What is the death toll of people dying from tuberculosis \?|43
What happened to Moon Maiden \?|3
What city is wiener schnitzel named for \?|32
What are the Urals \?|2
How can you stop the itch from poison ivy \?|4
What desert has the highest sand dunes \?|35
What two countries contain Sierra Nevada mountains \?|33
How do you tell your parents you are dating an older man \?|4
How long was the TV mission of Star Trek 's Enterprise to be \?|45
What phone number can I call to have a tree planted \?|37
When did the `` Star Spangled Banner '' become the national anthem \?|39
Who was Lacan \?|28
What are the four natural aids used in riding a horse \?|24
What continent 's name appears on the upper left corner of a Budweiser label \?|35
Who was the Secretary of War in the Civil War during the Battle of Gettysburg \?|30
Who did Bobby Fischer beat to win the world chess championship \?|30
How do you exterminate bees that are in the walls of your home \? Will bee eggs remain over winter \?|4
Where can I get information and statistics on countries and nations \?|35
Name a Gaelic language|15
What day is August 13 , 1971 \?|39
Where can I find a list of all the companies in America that offer a direct stock purchase plan \?|35
How do you send a movie transcript to Hollywood so that it can be produced into a film \?|4
What literary classic centers on the search for a treasure in gold worth 7 , 0 pounds \?|9
What is the origin of blue for boys and pink for girls \?|3
What is the name of the Michelangelo painting that shows two hands with fingers touching \?|9
How big is a quart \?|48
What is the Hub of London \?|2
Jude Law acted in which film \?|9
What causes panic attacks \?|5
What was the filling in the first golf balls \?|2
What drug did Sigmund Freud become fascinated with while experimenting with the treatment of neurasthenia \?|11
What country was A Terrible Beauty to Leon Uris \?|33
What is typhoid fever \?|2
Where can I buy a hat like the kind Jay Kay from Jamiroquai wears \?|35
What are the Twin Cities \?|2
What is Beethoven 's 9th symphony called \?|9
Name the lawyer for Randy Craft|30
Which breakfast cereal brought you `` the best each morning '' \?|13
What does Ms , Miss , and Mrs stand for \?|1
What is the Homelite Inc home page \?|35
What explosive do you get by mixing charcoal , sulfur and saltpeter \?|22
What mountainous region of the world is the Lhasa Apso dog native to \?|35
What cancer is commonly associated with AIDS \?|11
How long does it take light to reach the Earth from the Sun \?|45
Who lives at 39 Stone Canyon Way \?|30
How many questions are on this thing \?|38
Who played Humpty Dumpty in the 1933 film Alice in Wonderland \?|30
Who is Karenna Gore , Al Gore 's oldest daughter , married to \?|30
Who played the title role in I Was a Teenage Werewolf \?|30
Why are there olives in martinis \?|5
In what year did Hitler gain power of Germany \?|39
What year did Rossetti paint `` Beata Beatrix '' \?|39
What record company produced the 1978 movie The Wiz \?|29
Where can I find information about touring the Philippines \?|35
What did The Gas House Gang play \?|17
How many square feet is Bill Gates ' home \?|38
What is the name of actor Rex Harrison 's son , who starred in a modestly popular TV show during the late 1960 's \?|30
What is the highest Roman numeral \?|2
What 's the most popular form of bridge \?|17
Who was the inventor of the stove \?|30
What comedian has a legendary reputation for stealing jokes \?|30
Where can I find information on the cyclone that hit New Jersey on 8 28 1941 \?|35
Boxing Day is celebrated on what date \?|39
What are the first ten amendements passed \?|9
What is another term for the painful wrist syndrome \?|11
What 's the difference between sleet and freezing rain \?|3
How is the new Ford Econoline van F25 V1 engine \?|4
Who was the king who was forced to agree to the Magna Carta \?|30
Who was made the first honorary citizen of the U S \?|30
What game is Garry Kasparov really good at \?|21
Where was Richard Nixon when Gerald Ford became president \?|35
Where does the U S rank among world countries in area \?|42
What novel did Ian Fleming introduce James Bond in \?|9
What was the target rate for M3 growth in 1992 \?|44
What baseball team was routinely called `` dem bums '' by its frustrated fans \?|29
Name of scholar on whose literal translations from the Chinese and Japanese Ezra Pound depended \?|30
When did Israel begin turning the Gaza Strip and Jericho over to the PLO \?|39
What are the major differences in the Catholic and Methodist religions \?|3
Name the On Stage character whose face was never seen|30
How much energy is released when oxygen and hydrogen mix \?|38
What is the best Internet business to go into \?|29
What does Venus Retrograde mean \?|2
Who is known as `` the world 's oldest teenager '' \?|30
What are the largest breweries in the world \?|35
What does Las Vegas mean \?|2
What does the word `` meta '' mean \?|2
What keeps clouds in the air \?|17
What 's the term for any four sided figure \?|25
Ray Charles plays which instrument \?|14
What country and western singer is known as The Silver Fox \?|33
What building appropriately enough is depicted on the back of the 1 dollar bill \?|35
What is graduate school \?|2
What is the difference between New York style and Chicago style pizza \?|3
What baseball team owner and sailor is known as The Mouth of the South \?|30
What type of betting is used in horse racing \?|21
What kind of hat does Bat Masterson wear \?|19
Who was with Patricia Hearst the night she was kidnaped \?|30
What is the Viking Prince 's first name \?|30
What does the abbreviation cwt \?|1
In what deodorant commercial did tenants have adjoining medicine cabinets \?|17
Where is Rider College located \?|35
What boxer 's life story is titled Raging Bull \?|30
For what reason did some San Diego schools stop serving apples \?|5
Who advised listeners to `` see the U S A in your Chevrolet '' \?|30
Where was the first restaurant \?|35
Where can I find full written draft of CTBT \?|35
How many horses died during the civil war \?|38
How much waste does an average dairy cow produce in a day \?|38
What Nobel laureate was expelled from the Philippines before the conference on East Timor \?|30
What woman has carried the most multiple births , twins , triplets , etc , \?|30
How many minutes were there on the original GE College Bowl clock \?|38
What is the average time it takes for a male to ejaculate \?|45
What is website of the International Court of Justice \?|35
Where are 8 of the 10 highest mountains in the world \?|35
Where can I look at a perpetual calendar \?|35
How many astronauts have been on the moon \?|38
In what year did the Bounty mutiny happen \?|39
What is the only substance that gives food its `` taste '' when eaten \?|22
How do you reference a website \?|4
What is pandoro \?|2
What do the letters ZIP stand for in the phrase `` ZIP code '' \?|1
Which Bourbon king was restored to the French throne during Napoleon 's abdication \?|30
What is one of the cities that the University of Minnesota is located in \?|32
What are the words to `` My Way '' written by Paul Anka \?|3
How do I install a tile floor \?|4
What is the quickest and easiest way to get nail polish out of clothes \?|24
Why was the zipper invented \?|5
What 's the No 1 killer in industrialized countries \?|17
Name four famous cartoon cats|6
What daughter of Henry VIII and Anne Boleyn became queen of England \?|30
How did ` stat ' come to be used as an expression for quickly \?|4
What 's the most common nickname of U S college football teams \?|29
What 's the distinction of U S Supreme Court Justice Thurgood Marshall \?|3
What is the most useful site on the Internet \?|35
What is the world 's highest peak \?|34
What was a Mae West on a World War II battleship \?|2
Define cosmology|2
What comedienne upstaged Dwight D Eisenhower 's first inauguration by giving birth to her first child \?|30
What are amicable numbers \?|2
When were the Olympic Games in which Nadia Comaneci became popular played \?|39
Where is Hearst Castle , built by publisher William Randolph Hearst \?|35
What 's the largest U S city on the Great Lakes \?|32
Who sang about Desmond and Molly Jones \?|30
What magazine gives us the cream , not the skim \?|9
What does the technique called `` cold fusion '' produce \?|24
What costume designer decided that Michael Jackson should only wear one glove \?|30
What meter did Shakespeare use in writing `` To be , or not to be , that is the question '' \?|17
How many rows of sprocket holes does a roll of 35 millimeter film have \?|38
What is the goat population of the world \?|38
What company was the original sponsor of TV 's Superman \?|29
What term does a Czech use to describe a Pole \?|25
What sea separates Naples and Algiers \?|35
How many lawyers are there in the state of New Jersey \?|38
What are the most common elements in seawater \?|22
Describe the Finnish music personality Salonen 's appearance|3
What is the origin of the ethnic category `` caucasian '' \?|3
What is a stratocaster \?|2
What kind of science is cosmology \?|17
Name the blind sculptress in love with the Fantastic Four 's Thing|30
What 's the second lightest element \?|22
What do you call a `` twirl '' in ballet \?|25
What is the brand name of daminozide \?|19
What is the former name of Zimbabwe \?|25
What National Basketball Association superstar told his story in Giant Steps \?|30
What animals did The Amazing Three masquerade as \?|6
How did the bikini bathing suite get its name \?|4
When did Fraze get his first patent for the pull tab can \?|39
How many games are played in a five team round robin tournament \?|38
Who developed the first polio vaccine \?|30
Who made the first gas engine \?|30
What country claimed Rubens , Van Dyck and Bruegel as citizens \?|33
What civil war was fought between 1936 and 1939 \?|12
How many questions do you have on your database \?|38
How do clouds form \?|4
Where can I find examples of legal cases about the Individuals with Disabilities Education Act \?|35
What character did Tex Avery first create upon arriving at MGM \?|30
When was the Triangle Shirtwaist fire \?|39
What Asian spiritual and political leader was married at the age of 13 \?|30
Where is Ocho Rios \?|35
What is the half life of P 32 \?|2
What ocean does Mauritania border \?|35
Why do pressure cookers save time in the kitchen \?|5
Why are there 12 people on a jury in criminal cases \?|5
What do Christian Scientists believe in \?|3
What World War I battle saw 6 , 0 troops killed in one day \?|12
What country is Kosovo a part of \?|33
Tell me what city the Kentucky Horse Park is near \?|32
What computer operating system is on the most computers \?|19
What is Bill Gross 's email address \?|35
What is the economic impact of unemployment on the economy \?|3
What do the letters D C stand for in Washington , D C \?|1
What animals can live the longest without food \?|6
What English queen had seventeen children \?|30
What is the approximate population of Las Vegas , N M \?|43
How much does the President get paid \?|41
What two baseball players make up the battery \?|30
What 's the largest letter in Salvador Dali 's signature \?|16
What does an irate car owner call iron oxide \?|25
Of children between the ages of two and eleven , what percentage watch `` The Simpsons '' \?|44
What 's the northernmost U S state apart from Alaska \?|36
Name an art gallery in New York|35
Who sells Viagra \?|30
What is the Home Rule Act \?|2
What building are British monarchs crowned in \?|35
What are Bellworts \?|2
Who was Darius \?|28
What movie told of Anna Anderson 's claim to be a Russian czar 's daughter \?|9
Who did Dita Beard work for \?|30
What kind of creature is a coot \?|6
Name the university of which Woodrow Wilson was president|29
What country was first to use the airplane as a weapon of war , against the Turks in Libya \?|33
What university was Woodrow Wilson President of \?|29
What is a fear of disease \?|11
What kind of meat is Fray Bentos synonymous with \?|13
What did Mr Magoo flog on TV for General Electric \?|17
What are the words to the Canadian National anthem \?|3
What is the name of the Jewish alphabet \?|25
Who served as inspiration for the schoolteacher portrayed by Robin Williams in `` Dead Poets Society '' \?|30
What is Columbia Tristar 's phone number \?|37
Name the five positions who are in the line of succession to the presidency|31
Which one of the original seven Mercury program astronauts did not fly on any of the Mercury flights \?|30
Who is the best known villain of the 165 Gunpowder Plot \?|30
What is the capital of Burkina Faso \?|32
What continent is Bolivia on \?|35
Why was Muhammad Ali stripped of his title and barred from boxing in 1967 \?|5
Who killed more people , Hitler or Stalin \?|30
What caused Shea Gould to close their L A office \?|5
What 's the only mammal that can 't jump \?|6
What U S state has the most blondes \?|36
What war saw battles at Parrot 's Beak and Black Virgin \?|12
What does the name Kelly mean \?|2
What is a phalanx \?|2
What mustachioed comedian portrayed Frankie in North to Alaska \?|30
What does each of the utilities cost in Monopoly \?|41
What actor and World War II airman had a 5 , 0 bounty put on his head by Hermann Goering \?|30
What does e g stand for \?|1
What is the name of the medical condition in which a baby is born without a brain \?|11
How do storms form \?|4
Who is Nicolo Paganini \?|28
What city is often called The Insurance Capital of the World \?|32
What are the three animals in Sheila Burnford 's The Incredible Journey \?|6
Who portrayed Dracula in Hammer Studios ' films \?|30
Name one of the Seven Wonders of the Ancient World|17
When were fish first believed to be found on earth \?|39
What President 's favorite Biblical quotation was `` Come now , and let us reason together ''|30
How many elevators do you ride to reach the top floor of the Empire State Building \?|38
Name the food company that traveled to Soviet Georgia to film a series of ads|29
What country was Sir Edmund Hillary born in \?|33
What 's an infant seal called \?|6
What was the proper Laugh In respones to `` Say goodnight , Dick '' \?|3
What city was John F Kennedy nominated for president in \?|32
How long does a dog sleep \?|45
What 1963 Joseph L Mankiewicz film cost 28 million \?|9
What Japanese electronics company was named for a coastal city northeast of Tokyo \?|29
What can you be fined for having a dog on a beach \?|41
Where did the Battle of the Bulge take place \?|35
How much will the California be in the year 2000 \?|38
What mystery writer penned `` the glory that was Greece , and the grandeur that was Rome '' \?|30
What state full of milk and honey was the destination in The Grapes of Wrath \?|36
What is the tallest building in Japan \?|35
Where is Sinn Fein 's headquarters \?|35
Name Li 'l Abner 's favorite Indian drink|13
What are some important events of the 1830 's \?|12
The Iraqis launched their attack on Kuwait on what day \?|39
What letter adorns the flag of Rwanda \?|16
What did 8 , CD NNS VBP TO VB NNP POS NN|17
What is God \?|2
What country 's northernmost city is Darwin \?|33
What sound does Olympia , Washington , overlook \?|35
What TV show chronicled the lives of Katy Holstrum and Congressman Glen Morley \?|9
What Kentucky city calls itself The Horse Center of America \?|32
How many penny farthings are there on a Trivial Pursuit game board \?|38
What 's the most abundant element in the sun \?|22
What European country boasts the city of Furth , found where the rivers Rednitz and Pegnitz converge \?|33
What U S state is Dixville Notch in \?|36
Where was the Cisalpine Republic , 1797 185 , \?|35
What is the largest shopping mall in the world \?|35
What is the protagonist 's name in Dostoevski 's `` The Idiot '' \?|30
What penalty space lies between Baltic Avenue and Reading Railroad on a Monopoly board \?|17
What presidential press secretary dismissed Watergate as a third rate burglary attempt \?|30
What is a meerkat \?|2
Who was Jean Nicolet \?|28
What kind of animal was Winnie the Pooh \?|6
Which of these are authors \?|30
What 's the international radio code word for the letter B \?|27
Who was the original Humpty Dumpty \?|30
What is cache memory \?|2
Aspartame is also known as what \?|25
Where is the location of the Orange Bowl \?|35
When is President Nixon 's birthday \?|39
What is the origin of the midwest slang , ` you 're darn tootin ' \?|3
Whose cupboard was bare \?|30
What are the seven seas \?|35
What does IBM stand for \?|1
What is the difference between jazz and blues \?|3
What is the C programming language \?|2
What 's the name of Popeye 's adopted son \?|30
Who invented the vacuum cleaner \?|30
What is a ` borrow pit ' \?|2
What 2th century fictional character attends Pencey Prep School \?|30
How many people in the USA say their number one source of information is the newspaper \?|38
Who does Shakespeare 's Antonio borrow 3 , 0 ducats from \?|30
Which country is known as `` Big Bear '' \?|33
What `` melts in your mouth , not in your hands ''|13
How many times a day should you take a prescription marked `` q i d '' \?|38
What is the origin of the atom \?|3
Who is the Voyager project manager \?|30
Which radio stations air the Jim Bohannon Radio Talk Show \?|29
What two commanders directed the forces in the Battle of El Alamein \?|30
Name the creator of `` The Muppets ''|30
How do I e mail someone at aol com from yahoo com \?|4
Who replies `` I know '' to Princess Leia 's confession `` I love you '' in The Empire Strikes Back \?|30
What is the meaning of the name Ella \?|2
What 's the home of the Rockettes \?|35
Where can I find all the information I need to know about the English Civil War , 1642 1649 , \?|35
What is the name of the firm that makes Spumante \?|29
What sport is played on the largest field \?|21
Who won the 1967 Academy Award for Best Actor \?|30
What is after death \?|17
Name the first private citizen to fly in space|30
What was football star Elroy Hirsch 's nickname \?|30
What singer sings `` Oh Boy '' \?|30
How much pizza do Americans eat in a day \?|38
What is the website for the USA journal \?|35
What army 's motto is Blood and Fire \?|29
What kind of patent did Ermal Fraze get in 1963 \?|17
What are you hearing when you put a seashell to your ear \?|3
Why are haunted houses popular \?|5
Which gender has bigger thighs \?|17
What U S state has the second longest coastline \?|36
What state 's home to the Buffalo Bill Historical Center \?|36
How fast do cheetahs run \?|46
What is Ray Bradbury 's illustrated man illustrated with \?|17
How fast is a 45Mhz processor \?|46
What kind of puzzle first appeared in the U S in the New York World on December 21 , 1913 \?|17
What count did Alexandre Dumas write about \?|30
What are the odds of giving birth to twins \?|44
What is the largest natural lake in Pennsylvania \?|35
How far is London UK from California \?|40
Name the two mystical ravens Odin has at his command|6
What was the species of Winnie the Pooh \?|6
What is the virus HIV \?|2
How many years old is Benny Carter \?|38
What Hermann Hesse book gave its name to a rock group \?|9
Where does the Santa Fe Trail begin and end \?|35
What book is the follow up to Future Shock \?|9
What African animals are known as The Big Five \?|6
What is the alphabet for Latin \?|16
What is the fear of frogs \?|11
Which city in Canada is the least populated \?|32
How old is Stevie Wonder \?|45
Who was the first Taiwanese President \?|30
Who is Luke Skywalker 's father \?|30
What does a dipsomaniac crave \?|17
What is the definition of the term `` weapons system '' \?|2
What are Christopher Marlowe 's and Shakespeare 's literary contributions to English literature \?|3
What is Nero Wolfe 's favorite drink during office hours \?|13
What is the first personal computer company \?|29
What is the most efficient way to start a barbeque \?|24
Who was Jane Goodall \?|28
Why are there Braille things on the ATM machines that people drive through \?|5
Where is the Isle of Man \?|35
What book did Aaron Hass write \?|9
What was the death toll at the eruption of Mount Pinatubo \?|43
When will the millennium officially begin \?|39
Who created the comic strip , `` Garfield '' \?|30
Which Vietnamese terrorist is now a UN delegate in Doonesbury \?|30
What is real time processing \?|2
What do we call the imaginary line along the top of the Rocky Mountains \?|35
What country 's capital is Lagos \?|33
Where does Ray Bradbury 's Chronicles take place \?|35
Who is the current prime minister and president of Russia \?|30
Who established a Viking colony in Greenland about 985 \?|30
What was the distinguishing mark on the `` Little Rascals '' dog \?|23
Where can I get information about cystic fibrosis \?|35
Where did Honecker rule \?|35
What is the theory of equivalence states \?|2
What does a philatelist collect \?|17
What is the life span of the average monkey \?|45
How many member states are in the UN \?|38
Who shot and killed himself while painting Wheatfield with Crows \?|30
What will happen when sodium is put in water \?|3
What 's the meaning of UOL \?|2
What future President became Senate majority whip under Harry Truman \?|30
Who was the architect of Central Park \?|30
Which operating system runs on IBM compatible machines \?|19
What are the dimensions of an ice hockey goal \?|40
When was CNN 's first broadcast \?|39
What are the signs of a country going into a recession \?|23
What is the circumorbital hematoma \?|2
What African country is governed from Ouagadougou \?|33
What was the Christian name of the title character in Our Miss Brooks \?|30
What hard of hearing artist painted Sunflowers \?|30
Who were the Yankee 's frequent enemies \?|29
Who wrote Sons and Lovers \?|30
What is the English translation for the word `` caliente '' \?|25
What handicraft requires you to interlace your warp and weft \?|24
What French seaport claims to be The Home of Wines \?|32
How long does it take sunlight to reach Earth \?|45
How many milliseconds in a second \?|38
What Cherokee Indian gave his name to a tree \?|30
When were camcorders introduced in Malaysia \?|39
What is the chance of conceiving quadruplets \?|44
Who was the star of Leave It to Beaver \?|30
What countries have the largest armed forces in the world \?|33
What was William F Cody 's better known name \?|30
How do I increase my biceps ' size \?|4
Who did Richard Nixon tender his resignation to \?|30
Who was Thucydides \?|28
How is the element strontium purified \?|4
Which of the following rock 'n roll stars has a `` star '' on Hollywood Boulevard \?|30
What are tonsils for \?|5
What molecules include fluorine , sodium and magnesium \?|22
What was the name of the ball game played by the mayans \?|21
What was the sequel to The Moon 's Balloon \?|9
What is the exchange rate for Australian to American money \?|41
What is the origin of the word ` posh ' \?|3
How can anyone tell if a female had sexual intercourse \?|4
How many states did Richard Nixon carry in 1972 \?|38
What basketball maneuver did Bert Loomis invent \?|24
What is a good book to read for people who hate to read \?|9
How many shillings more than 2 were there in a guinea \?|38
What does a tarantula eat \?|13
What are the three secondary colors \?|8
